Respondent?s name ,SL,Address  ,Mahalla/village,Upazila / Thana ,Zila (district) ,Landmark (renowned structure name/ road intersection) ,Location type,Name of supervisor ,Interviewer?s name ,GPS coordinates ,Interviewer visits ,Interview start time ,Interview end time ,Interviewer ID number,Respondent  consent,Contact number ,Age,Gender,Married,Can read a bangla letter ,Education,Name of Establishment / Store / Outlet owner,Type of business,Number of day store open (Weekly),Total household member,Adult household member,Income source,Common sell item (five number),Full time worker,Business duration,Previous occupation,Major goals for business,Main barriers and challenges ,Support Type,Training Type,Ownership type ,Business located ,Property ownership,Structure type of the store,Facilities,Trade license,Number of Employee,Number of support member(Family),Number of contractual employee,Total Employee, Average number customer,Average sell per customer,Percentage of known/regular customer,Credit offer,Monthly  credit sell percentage ,Income from daily sells,Expendature from daily sells ,Agreement with statement,Monetary problem for payment,Feel safe in cash payment ,Concern about money safeness,Cash Transactions difficulty,Feel lack of capital, Need  products in stock for better business  ,Maintaining accounts type, Mainatining accounts for goods,Maintaining  household expenses,Separate household and business expenses,Supplies of goods/merchandise,Overall supplies from one point,Payment Terms by Supply Mode,Payment Terms for company distributor ,Payment Terms for company/manufacturer,Payment terms for wholesalers,Payment terms in nearby haaat,Payment terms in same/nearby area,Payment terms in others (specify),Frequency of replenish  stock/procure goods and supplies,Credit or installment payment for goods in last year,Last year taken any personal/ business loan, Pending business loans,Amounts of pending loan,Amounts of current pending business loan,Largest loan taken location, Would take loan if possible ,Access to loan,Family members have feature (phone with internet connection facility) / basic phone , Family membersÿown a smartphone with a touchscreen,Family membersÿdo not own a phone,Have Personal Phone,Type of Phone,use of personal mobile phone,Challenges  of personal mobile phone,Usees of computer(personal/business),Internet Connectivity in store computer,Frequentness of receiving stock/services from  suppliers,Frequentness of payment to  suppliers,Payment Terms to Suppliers,Problem facing on time payment,Barriers through mobile account payment for suppliers,Access to services,Distance from the store, Cost to reach  from the store, Nearest bank branch (any bank),Nearest ATM,Nearest bKash/Rocket or other digital payment agent ,"Nearest place from where send or receive money (if it is one of the above mentioned, then repeat that  information) ","Nearest place where can recharge (buy airtime or top-up) your mobile (if it is one of the above mentioned, then repeat that  information) ",Have bank account,Last use of account,Bank Name,Bank account for business activity, Use your bank account,Reaching time (minutes) in bank,Cost to reach bank,Reasons of not having a bank account,Headed mobile money,Have any MFS account,Likeness  of three things  in mobile money service,Name three things like least about mobile money service,Name of mobile money service(if available),Personal or merchant account,Name three things you like most about transferring money via your mobile money serviceÿ,Name three things you like least about transferring money via your mobile money service,Last time heared MFS,Accepted MFS from customers,From time accepted MFS, Any changes of customers from using digital MFS,Frequentness of using  merchant account (for business purpose),User friendlyness of MFS ,Reason for not accceptance MFS, Make payments any mobile payment system to your suppliers,Reason not using MFS for suppliers,Acceptancy of payment through debit/credit card ,Percentage customer who pay using card,Cash,Pays using a debit/ credit card ,Pay through mobile payment service,make time to transactions,Cash2,Pays using a debit/ credit card 3,Pay through mobile payment service4,Benefits of receiving payments through mobile payment service,Problem facing for receiving mobile payment ,Face monthly limit barrier, Payments not received because of not getting system confirmation on time,Could not receive payments because of cell phone connectivity ,Customer could not make the payment because of system problem,Customer could not make the payment because of lack of balance on mobile money account,Customer made a mistake ,Transaction was slow/resulted in long lines ,Other (specify)  ,Increase the percentage of your sales (number of customer) that is paid through mobile payment service,Not  interested because increase the percentage,Member of  an asscociation,Name of Association,How many household members are 12-years-old or youngerÿ?,Do all children ages 6 to 12 currently attend a school/educational institutionÿ?,"In the past year, did any household member ever do work for which he/she was paid on a daily basisÿ?",How many rooms does your household occupy (excluding rooms used for businessÿ)?,What is the major construction material of the walls of the main roomÿ? ,Does the household own any televisionsÿ?,How many fans does the household ownÿ?,How many mobile phones does the household ownÿ?,"Does the household own any bicycles, motorcycle/scooters, or motor cars, etcÿ.?",Does the household own (or rent/sharecrop/mortgage in or out) 51 or more decimals of cultivable agricultural land (excluding uncultivable land and dwelling ? house/homestead landÿ)? 
,880,,,,,,URBAN,,,,Visit 2,,,880,No,,65,Female,No,Yes,Secondary Vocational Training complete/ certificate complete,,Retail grocery shop,7,5,3,Others,,Yes,8,Job/Paid employment,,Hard to say,,"Legal support, Issues related registering and licensing of business",Family business,Attached with residence,Rent,Kutcha shack,Land phone line,Yes,1,1,2,,128,37,Between 26 - 50% customers are known,"No, never",91-100%,1832,Don?t know/refuse,,Disagree somewhat,Agree somewhat,Disagree somewhat,Strongly disagree,Strongly disagree,Strongly disagree,Do not keep accounts daily,Write it to my account book,Yes,No,Company distributor,19,Cash & Credit both,Cash,Cash,Credit,Credit,Cash,Credit,4-6 days a week,Rarely,No,No,1,,"From a bank, post office or microfinance institution",Strongly disagree,Disagree somewhat,3,2,3,Yes,Feature/basic/camera phone,Send/Receive Email,"Phone runs out of storage (space for saving picture, apps and other information)",Yes,"No, never",Once a month,2-3 times a week,Mobile payment service,Sometimes have to ask for more time or for a loan,Other,,7,11,1,4,2,2,2,Business account,In the past 7 days,NCC bank,Yes,Mobile app/mobile banking,20,33,Others,Yes,Yes,,,OK,Merchant,,,Yesterday,Yes,2013,Highly increased,Once a month,Somewhat difficult,It do not add any value to my business,No,Supplier do not accept pyment through mobile payment system,No,Yes,Don?t know,41-50%,11-20%,,25,2024,425,It offers campaigns and discounts for customers,,"Yes, sometimes","Yes, frequently","Yes, sometimes","Yes, sometimes","Yes, frequently",Rarely,"No, never",Rarely,,Many customers do not have money in their MFS account,No,Co-opeartive,One,Yes,No,One,Mud brick or C.I. sheet/wood,No,One,Three or more,Yes,Yes
,881,,,,,,URBAN,,,,Visit 1,,,881,No,,25,Female,Yes,Yes,Secondary education,,Retail grocery shop,7,8,2,Work in your own activity and you are your own boss (Self-employment)/ Business,,No,15,Job/Paid employment,,Not applicable,,Network,Partnership,Attached with residence,Own,Large room(s) of pucca construction >100 sqmts,Electronic Cash register,No,0,2,1,,198,95,Don't know,"Yes, sometimes",1-10%,1165,Deposit it in Co-operative,,Strongly disagree,Strongly disagree,Agree somewhat,Agree somewhat,Strongly agree,Disagree somewhat,I keep my accounts by remembering,I keep my accounts by remembering,No,No,Company distributor,11,Cash & Credit both,Cash & Credit both,Cash & Credit both,Credit,Cash & Credit both,Cash,Credit,Everyday,"Yes, sometimes",No,No,2,,From a village Level savings Group,Disagree somewhat,Disagree somewhat,3,2,2,No,,Use bKash mobile money transactions,Phone runs out of battery,No,"No, never",Once a month,Once a week,Other,Often have to ask for more time or for a loan,Other,,6,25,0,5,1,4,2,Business account,More than 90 days ago,Rupali bank,Yes,Banks' website/online banking,52,35,I do not believe that my money will be safe in a bank,Yes,Yes,,,Rocket (DBBL),Personal,,,Yesterday,No,2016,Don?t know/refuse,Once a week,Difficult,Fee is too high,Yes,Supplier do not accept pyment through mobile payment system,Yes,No,51-60%,81-90%,41-50%,,1233,1159,406,It is possible to pay remote payments through this,,Rarely,"No, never","No, never",Rarely,"Yes, frequently",Rarely,"Yes, frequently","No, never",,I need cash money to run my business,Yes,Micro-credit group,One,No,No,Three or more,"Hemp/hay/bamboo, or other",No,None,One,Yes,Yes
,882,,,,,,RURAL,,,,Visit 2,,,882,No,,29,Female,Yes,No,Not Formal Education,,Conrfectionery,7,8,5,Receive money from migrant family members (Remittances),,Yes,14,Job/Paid employment,,Poor physical infrastructure,,Lobbying and protection of interests,Single proprietorship,Separate from resident,Rent,Semi pucca shack,Electricity connection,No,3,1,3,,187,10,Between 76% - 100% customers are known,"No, never",11-20%,1371,Give it to someone for safekeeping,,Strongly disagree,Disagree somewhat,Disagree somewhat,Strongly agree,Strongly agree,Strongly disagree,Write it to my account book,Do not keep accounts daily,No,Yes,Directly from the company/manufacturer,12,Cash & Credit both,Cash & Credit both,Cash,Cash,Cash & Credit both,Cash,Cash & Credit both,2-3 days a week,"No, never",Yes,Yes,4,61581,"From a bank, post office or microfinance institution",Strongly disagree,Strongly disagree,2,3,1,Yes,Feature/basic/camera phone,Use bKash mobile money transactions,"Phone runs out of storage (space for saving picture, apps and other information)",No,"No, never",2-3 times a week,2-3 times a week,Cash,Often have to ask for more time or for a loan,Fee is too high,,8,46,5,1,5,5,4,One account for both- personal and business,In the past 90 days,Bangladesh Krishi bank,No,Banks' website/online banking,50,47,There are no banks nearby my residence,No,Yes,,,Ucash,Merchant,,,More than 90 days ago,No,2013,About the same,Daily,Difficult,Many customers do not think that it is convenient or useful,No,Supplier do not accept pyment through mobile payment system,No,No,91-100%,41-50%,41-50%,,593,3421,793,It is safer than cash money,,"Yes, frequently",Rarely,Rarely,"No, never","Yes, sometimes","Yes, sometimes","Yes, sometimes","Yes, frequently",,It takes too long for transaction /results to long lines,Yes,Others,Two,No,Yes,Two,Mud brick or C.I. sheet/wood,Yes,Three or more,One,Yes,No
,883,,,,,,URBAN,,,,Visit 1,,,883,No,,41,Female,Yes,Yes,Others,,Retail grocery shop,1,7,1,Work in your own activity and you are your own boss (Self-employment)/ Business,,No,5,Other,,Tax rates and state fees,,Technical training,Single proprietorship,Attached with residence,Other,Large room(s) of pucca construction >100 sqmts,Business Cellphone (separate from owner?s personal),No,2,3,3,,166,26,Between 51 - 75% customers are known,Rarely,0%,869,Keep it at home/room,,Strongly disagree,Disagree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Strongly disagree,I keep my accounts by remembering,I keep my accounts by remembering,No,Yes,Wholesaler in wholesale market,17,Cash & Credit both,Credit,Cash & Credit both,Cash,Cash,Cash & Credit both,Credit,2-3 days a week,Rarely,No,No,2,,"From a bank, post office or microfinance institution",Disagree somewhat,Disagree somewhat,1,3,2,Yes,Feature/basic/camera phone,Others,"Phone runs out of storage (space for saving picture, apps and other information)",No,"No, never",2-3 times a week,2-3 times a month,Other,Often have to ask for more time or for a loan,It's difficult/inconvenient to use,,2,10,4,5,5,2,2,Business account,In the past 90 days,Others,Yes,Mobile app/mobile banking,9,14,Registration fees and fees for using it are too high,Yes,No,,,MYCash,Merchant,,,In the past 7 days,No,2015,Don?t know/refuse,2-3 times a month,Somewhat difficult,Many customers do not have money in their MFS account,Yes,Others,Yes,No,51-60%,21-30%,81-90%,,53,3959,1376,It helps the store?s marketing or attracts more customers,,Rarely,"Yes, frequently",Rarely,"Yes, frequently","Yes, sometimes","No, never","Yes, sometimes","No, never",,Many customers do not have money in their MFS account,No,Village level association (Informal),None,No,Yes,Three or more,"Hemp/hay/bamboo, or other",Yes,None,Two,Yes,No
,884,,,,,,URBAN,,,,Visit 1,,,884,No,,56,Female,No,No,Secondary education,,Variety/General store,2,5,1,Work for someone else (Wage employment),,No,12,Other,,Hard to say,,Marketing,Single proprietorship,Attached with residence,Other,Small room of pucca construction < 100 sqmts,Electricity connection,Yes,3,0,3,,187,74,Between 76% - 100% customers are known,Rarely,31-40%,2150,Deposit it in a bank account,,Agree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Manually enter in the computer,Manually enter in the computer,Yes,No,Directly from the company/manufacturer,9,Cash & Credit both,Cash,Credit,Credit,Credit,Credit,Cash & Credit both,4-6 days a week,"No, never",No,Yes,5,48725,From a village Level savings Group,Strongly disagree,Disagree somewhat,2,2,1,No,,Use Facebook or other social networking site,Ran out of balance (airtime),Yes,"No, never",Once a month,2-3 times a month,Mobile payment service,I always pay on time,Fee is too high,,9,31,3,3,3,2,5,Business account,Yesterday,AB bank,No,Other,38,43,I do not need a bank account,No,No,,,MCash,Personal,,,In the past 30 days,No,2016,Somewhat increased,Daily,Somewhat difficult,I need cash money to run my business,No,Do not know how to make payment through mobile phone,Yes,No,1-10%,31-40%,Don?t know,,490,3314,694,It is free,,"Yes, sometimes","No, never","No, never","No, never","No, never","Yes, sometimes",Rarely,"No, never",,Customers do not have trust on MFS acccount,No,Village level association (Informal),Three or more,No,No,None,Brick/cement,No,Two,None,No,No
,885,,,,,,URBAN,,,,Visit 2,,,885,No,,26,Male,No,Yes,Primary Education,,Variety/General store,1,6,3,Work in your own activity and you are your own boss (Self-employment)/ Business,,No,12,Other,,Monitoring and inspections by regulatory bodies,,Lobbying and protection of interests,Partnership,Attached with residence,Rent,Semi pucca shack,Electricity connection,Yes,1,0,0,,214,90,Between 51 - 75% customers are known,Rarely,51-60%,2589,#VALUE!,,Disagree somewhat,Disagree somewhat,Strongly agree,Disagree somewhat,Strongly agree,Strongly agree,Manually enter in the computer,Have a barcode scanner that automatically scans item and keeps accounts,Yes,No,Large store in nearby haaat,9,Cash & Credit both,Cash,Credit,Cash & Credit both,Credit,Cash & Credit both,Credit,Everyday,"Yes, sometimes",Yes,No,4,51229,From a village Level savings Group,Strongly disagree,Disagree somewhat,2,1,2,Yes,Smartphone,Use Facebook or other social networking site,Phone not working properly (other than connectivity issues),No,"Yes, frequently",Once a week,2-3 times a week,Through my bank account,Sometimes have to ask for more time or for a loan,Other,,7,48,3,1,0,4,4,Business account,In the past 7 days,United Commercial bank,Yes,Mobile app/mobile banking,35,14,It is not permitted by my religion,Yes,No,,,bKash,Personal,,,In the past 7 days,Yes,2013,Somewhat increased,Daily,Very easy,My phone or phone network is not working properly,Yes,Do not know how to make payment through mobile phone,No,Yes,81-90%,71-80%,41-50%,,1329,1835,1905,It is free,,Rarely,"Yes, frequently","No, never",Rarely,Rarely,Rarely,"No, never","Yes, frequently",,It do not add any value to my business,No,Co-opeartive,Two,Yes,Yes,One,Brick/cement,No,One,Two,Yes,No
,886,,,,,,RURAL,,,,Visit 1,,,886,Yes,,23,Female,No,Yes,Secondary Vocational Training complete/ certificate complete,,Variety/General store,4,5,5,Work in your own activity and you are your own boss (Self-employment)/ Business,,Yes,5,Job/Paid employment,,Other please describe,,Business plan writing,Family business,Separate from resident,Own,Semi-permanent kiosk,Internet connection,No,3,1,0,,117,22,Up to 25% customers are known,"Yes, regularly",41-50%,1603,Deposit it in a bank account,,Strongly disagree,Agree somewhat,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,I keep my accounts by remembering,Do not keep accounts daily,No,No,Large store in same/nearby area,5,Cash & Credit both,Cash,Cash,Cash & Credit both,Cash,Cash & Credit both,Credit,Everyday,"No, never",Yes,Yes,2,78939,"From a bank, post office or microfinance institution",Agree somewhat,Agree somewhat,3,3,2,Yes,Smartphone,Use Facebook or other social networking site,Network connectivity problem / poor mobile service,No,"Yes, sometimes",Less than once a month,2-3 times a month,Other,I always pay on time,The suppliers or I do not always have a working phone,,8,32,2,1,2,5,0,Personal account,In the past 7 days,Pubali  bank,No,Banks' website/online banking,32,11,Registration fees and fees for using it are too high,Yes,No,,,OK,Merchant,,,Yesterday,No,2012,Don?t know/refuse,Once a month,Somewhat difficult,I do not trust it,No,Fear of hacking,No,Yes,21-30%,81-90%,0%,,1283,2264,1673,It is possible to pay remote payments through this,,"Yes, frequently","Yes, frequently",Rarely,Rarely,"Yes, frequently","Yes, sometimes","Yes, sometimes","Yes, sometimes",,Customers do not have trust on MFS acccount,Yes,Micro-credit group,One,Yes,No,One,Mud brick or C.I. sheet/wood,No,Two,None,Yes,No
,887,,,,,,URBAN,,,,Visit 2,,,887,Yes,,15,Female,Yes,Yes,Secondary education,,Variety/General store,5,8,3,No Response,,Yes,7,Job/Paid employment,,Tax rates and state fees,,Marketing,Partnership,Separate from resident,Own,Small room of pucca construction < 100 sqmts,Internet connection,No,3,1,0,,182,59,Between 51 - 75% customers are known,"Yes, sometimes",61-70%,1977,Spend it immediately for personal expenses,,Strongly agree,Strongly agree,Agree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat,Have a barcode scanner that automatically scans item and keeps accounts,Write it to my account book,Yes,Yes,Large store in same/nearby area,7,Credit,Credit,Credit,Credit,Cash & Credit both,Credit,Cash,4-6 days a week,Rarely,Yes,Yes,1,42271,"From a bank, post office or microfinance institution",Disagree somewhat,Strongly disagree,2,2,2,No,,Send/Receive Email,"Phone runs out of storage (space for saving picture, apps and other information)",No,"No, never",Once a week,2-3 times a month,Mobile payment service,I always pay on time,I do not trust system,,2,23,0,2,2,3,0,Personal account,Yesterday,HSBC bank,No,Other,55,16,It is not permitted by my religion,Yes,No,,,MYCash,Personal,,,In the past 30 days,Yes,2015,About the same,Once a week,Somewhat easy,It's difficult to get cash out from my balance,No,Fear of hacking,No,Yes,41-50%,Don?t know,41-50%,,377,3761,235,It is convenient,,"Yes, sometimes","Yes, sometimes",Rarely,"Yes, sometimes",Rarely,"No, never",Rarely,"No, never",,Many customers do not think that it is convenient or useful,Yes,Micro-credit group,None,No,Yes,Three or more,"Hemp/hay/bamboo, or other",Yes,None,None,No,Yes
,888,,,,,,RURAL,,,,Visit 2,,,888,No,,24,Female,Yes,Yes,University Degree,,Variety/General store,3,6,1,Receive money from migrant family members (Remittances),,No,11,Farming/agriculture,,Energy connection,,"Accounting, taxation, bookkeeping",Family business,Attached with residence,Rent,Large room(s) of pucca construction >100 sqmts,Electronic Cash register,No,1,2,0,,215,81,Don't know,"Yes, sometimes",61-70%,971,Don?t know/refuse,,Agree somewhat,Strongly agree,Agree somewhat,Strongly agree,Disagree somewhat,Strongly disagree,Write it to my account book,Write it to my account book,No,Yes,Directly from the company/manufacturer,10,Credit,Cash,Credit,Cash & Credit both,Cash & Credit both,Credit,Cash & Credit both,Everyday,"No, never",Yes,No,4,11077,From a village Level savings Group,Agree somewhat,Strongly disagree,3,3,3,Yes,Smartphone,Use bKash mobile money transactions,Network connectivity problem / poor mobile service,No,Rarely,Once a month,2-3 times a week,Mobile payment service,I always pay on time,I do not trust system,,2,16,0,3,4,3,0,Personal account,In the past 90 days,IFIC bank,No,Mobile app/mobile banking,41,34,I like to transact in cash,Yes,No,,,Rocket (DBBL),Personal,,,In the past 30 days,Yes,2015,Somewhat increased,2-3 times a week,Somewhat easy,Many customers do not have money in their MFS account,Yes,Supplier do not accept pyment through mobile payment system,No,No,0%,81-90%,11-20%,,1875,4512,1422,Shorter lines/ customers have to wait less time,,"Yes, sometimes","Yes, sometimes",Rarely,"Yes, frequently","No, never",Rarely,"Yes, sometimes",Rarely,,I do not trust it,No,Co-opeartive,Three or more,No,No,One,Brick/cement,Yes,One,Two,Yes,Yes
,889,,,,,,RURAL,,,,Visit 2,,,889,No,,35,Female,Yes,No,Post-Graduate University,,Variety/General store,7,5,3,Others,,No,2,Farming/agriculture,,Access to finance,,Business plan writing,Single proprietorship,Attached with residence,Own,Kutcha shack,Internet connection,No,1,1,2,,280,51,Between 51 - 75% customers are known,Rarely,81-90%,1744,Keep it at store,,Strongly disagree,Strongly disagree,Strongly disagree,Agree somewhat,Strongly disagree,Disagree somewhat,I keep my accounts by remembering,Write it to my account book,Yes,Yes,Large store in same/nearby area,14,Cash,Cash & Credit both,Credit,Cash,Cash,Credit,Cash & Credit both,4-6 days a week,"Yes, sometimes",No,No,3,,From a village Level savings Group,Disagree somewhat,Disagree somewhat,3,2,2,Yes,Smartphone,Send/Receive Email,"Phone runs out of storage (space for saving picture, apps and other information)",Yes,"No, never",2-3 times a week,Less than once a month,Through my bank account,I always pay on time,I do not trust system,,1,43,5,2,2,5,3,One account for both- personal and business,In the past 7 days,Uttara bank,Yes,Mobile app/mobile banking,33,35,I have to pay tax,Yes,No,,,MCash,Merchant,,,In the past 30 days,No,2016,Somewhat decreased,Daily,Somewhat easy,Many customers do not have money in their MFS account,No,Do not know how to make payment through mobile phone,No,No,71-80%,71-80%,91-100%,,1104,1404,1429,It is possible to pay remote payments through this,,"Yes, sometimes","Yes, sometimes","No, never","Yes, sometimes","No, never",Rarely,"Yes, frequently","Yes, sometimes",,My phone or phone network is not working properly,No,Micro-credit group,Three or more,Yes,No,None,"Hemp/hay/bamboo, or other",No,Three or more,Two,Yes,Yes
,890,,,,,,RURAL,,,,Visit 1,,,890,No,,44,Male,Yes,No,Secondary education,,Retail grocery shop,7,7,3,Receive money from migrant family members (Remittances),,Yes,4,Farming/agriculture,,"Insufficient knowledge, information, business experience",,Finding and advise on equipment and technology,Family business,Separate from resident,Own,Small room of pucca construction < 100 sqmts,Computer,Yes,1,2,3,,177,48,Between 76% - 100% customers are known,Rarely,0%,1878,Keep it at home/room,,Strongly agree,Disagree somewhat,Agree somewhat,Agree somewhat,Strongly disagree,Strongly agree,Do not keep accounts daily,I keep my accounts by remembering,Yes,Yes,Others,17,Cash & Credit both,Cash,Cash,Cash,Credit,Cash,Credit,2-3 days a week,"No, never",Yes,Yes,3,22836,From friends,Disagree somewhat,Agree somewhat,2,3,2,Yes,Smartphone,Send/Receive Email,Ran out of balance (airtime),No,"No, never",2-3 times a month,Once a month,Mobile payment service,Often have to ask for more time or for a loan,It's difficult/inconvenient to use,,3,32,0,0,1,4,3,One account for both- personal and business,More than 90 days ago,EXIM bank,Yes,Banks' website/online banking,7,14,I do not believe that my money will be safe in a bank,No,No,,,MYCash,Merchant,,,Yesterday,Yes,2013,Don?t know/refuse,Daily,Somewhat easy,Many customers do not have a MFS account,No,High charge,Yes,No,31-40%,21-30%,41-50%,,1210,1238,1119,It is safer than cash money,,"Yes, sometimes","No, never","Yes, sometimes","Yes, sometimes",Rarely,"No, never","Yes, sometimes","Yes, frequently",,It do not add any value to my business,Yes,Village level association (Informal),One,Yes,No,None,Mud brick or C.I. sheet/wood,Yes,Three or more,Two,Yes,No
,891,,,,,,URBAN,,,,Visit 1,,,891,No,,66,Male,No,No,Higher Secondary Education,,Variety/General store,6,8,1,Receive money from migrant family members (Remittances),,Yes,20,Job/Paid employment,,Poor physical infrastructure,,Other please specify,Single proprietorship,Separate from resident,Other,Permanent kiosk,Electronic Cash register,Yes,3,0,3,,227,95,Up to 25% customers are known,"No, never",91-100%,2738,Keep it at store,,Agree somewhat,Agree somewhat,Strongly disagree,Strongly agree,Agree somewhat,Agree somewhat,Have a barcode scanner that automatically scans item and keeps accounts,I keep my accounts by remembering,No,No,Large store in same/nearby area,5,Cash & Credit both,Cash & Credit both,Cash & Credit both,Cash,Credit,Cash & Credit both,Cash,2-3 days a week,Rarely,No,Yes,3,58277,From a village Level savings Group,Disagree somewhat,Disagree somewhat,2,3,1,No,,Checked phone credit balance,Phone not working properly (other than connectivity issues),Yes,Rarely,2-3 times a week,2-3 times a week,Cash,I always pay on time,Suppliers do not  want to receive payments through mobile money account,,7,20,4,3,4,5,0,Business account,In the past 90 days,Dhaka bank,No,Other,18,43,I have to pay tax,Yes,Yes,,,bKash,Personal,,,In the past 7 days,Yes,2017,Don?t know/refuse,Daily,Very easy,Many customers do not have a working cellphone,No,Supplier do not accept pyment through mobile payment system,Yes,Yes,61-70%,31-40%,61-70%,,1780,2160,355,It offers campaigns and discounts for customers,,Rarely,Rarely,"Yes, sometimes","No, never","Yes, frequently","No, never",Rarely,Rarely,,It do not add any value to my business,No,Others,None,Yes,No,One,Mud brick or C.I. sheet/wood,No,Two,One,Yes,Yes
